product_code,product_name,category,f_sku,spec_code_size,unit
14.L1.3060.A36420.8,Gạch 30x60 MS A36420 Loại 1,F_Bộ,36420-36320D-36320,3060,Viên
29.L1.6060.FPU6006.2,Gạch 60x60 MS FPU6006 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
29.L1.3060.FP3607.3,Gạch 30x60 MS FP3607 Loại 1,F_Bộ,FP3605-FP3605D-FP3607,3060,Viên
29.L1.6060.FPU6016.3,Gạch 60x60 MS FPU6016 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
20.L1.8080.91854.5,Gạch 80x80 MS 91854 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
29.L1.4060.FXU46002.01,Gạch 40x60 MS FXU46002 Loại 1,F_Solo,Solo4060.CeramicMatt/ Sugar,4060,Viên
29.L1.4060.FXK46254.01,Gạch 40x60 MS FXK46254 Loại 1,F_Solo,Solo4060.CeramicMatt/ Sugar,4060,Viên
29.L1.3060.FC3623.06,Gạch 30x60 MS FC3623 Loại 1,F_Bộ,FC3623-FC3623D-FC3623V,3060,Viên
29.L1.3060.FC3623V.06,Gạch 30x60 MS FC3623V Loại 1,F_Bộ,FC3623-FC3623D-FC3623V,3060,Viên
20.L1.8080.28905.4,Gạch 80x80 MS 28905 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
14.L1.3030.33411.5,Gạch 30x30 MS 33411 Loại 1,F_Solo,Solo3030.GraniteMatt/ Sugar,3030,Viên
29.L1.3060.FC3622D.07,Gạch 30x60 MS FC3622D Loại 1,F_Bộ,FC3622-FC3622D-FC3622V,3060,Viên
36.L1.3060.USC3641.1,Gạch 30x60 MS USC3641 Loại 1,F_Bộ,USC3641-USC3641D-USC3642,3060,Viên
36.L1.3060.USC3642.1,Gạch 30x60 MS USC3642 Loại 1,F_Bộ,USC3641-USC3641D-USC3642,3060,Viên
20.L1.6060.26902.4,Gạch 60x60 MS 26902 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.3060.4569.4,Gạch 30x60 MS 4569 Loại 1,F_Bộ,4569-4568-4567,3060,Viên
20.L1.6060.36905.5,Gạch 60x60 MS 36905 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
37.C100.DG.VINASTAR.00,Keo dán gạch VINASTAR  C1,F_NonGach,37.C100.DG.VINASTAR.00,DG,Kg
37.C1T0.DG.VNS-PLUS.00,Keo dán gạch VINASTAR PLUS C1T Xám,F_NonGach,37.C1T0.DG.VNS-PLUS.00,DG,Kg
29.L1.3060.FP3603.2,Gạch 30x60 MS FP3603 Loại 1,F_Bộ,FP3602-FP3602D-FP3603,3060,Viên
10.L1.3060.4621.6,Gạch 30x60 MS 4621 Loại 1,F_Bộ,4621-4622-4623,3060,Viên
20.L1.6060.16904.5,Gạch 60x60 MS 16904 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.6060.74006.6,Gạch 60x60 MS 74006 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.5050.A5315.2,Gạch 50x50 MS A5315 Loại 1 6 Viên,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
29.L1.8080.FPU8888.2,Gạch 80x80 MS FPU8888 Loại 1,F_Solo,Đen8080.GraniteBóng,8080,Viên
10.L1.3060.4632.5,Gạch 30x60 MS 4632 Loại 1,F_Bộ,4631-4632-4633,3060,Viên
36.L1.3060.USC3641D.1,Gạch 30x60 MS USC3641D Loại 1,F_Bộ,USC3641-USC3641D-USC3642,3060,Viên
10.L1.3060.4633.5,Gạch 30x60 MS 4633 Loại 1,F_Bộ,4631-4632-4633,3060,Viên
10.L1.3060.4626.6,Gạch 30x60 MS 4626 Loại 1,F_Bộ,4624-4625-4626,3060,Viên
10.L1.5050.5321.6,Gạch 50x50 MS 5321 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050,Viên
10.L1.6060.74003.6,Gạch 60x60 MS 74003 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
36.L1.3060.USC3632.2,Gạch 30x60 MS USC3632 Loại 1,F_Bộ,USC3631-USC3631D-USC3632,3060,Viên
